14
0, (12, 17)
1, (13, 16)
2, (13, 23)
3, (14, 15)
4, (14, 19)
5, (14, 22)
6, (15, 18)
7, (15, 21)
8, (16, 20)
9, (18, 19)
10, (18, 22)
11, (19, 21)
12, (20, 23)
13, (21, 22)
