shots theta1_mean theta1_std theta2_mean theta2_std energy_mean energy_std energy_mean_fixed energy_std_fixed
100 0.564588 0.120972 -0.644937 0.245730 -2.652773 0.723019 -3.109927 0.353110
300 0.583017 0.080885 -0.683076 0.184137 -2.792946 0.418014 -3.073518 0.155183
1000 0.590581 0.048814 -0.748621 0.099139 -2.945762 0.129360 -3.048187 0.074560
3000 0.592062 0.039578 -0.753773 0.073742 -3.017445 0.065041 -3.045686 0.061878
